IncidentName,CreateDate
Bradbury Krebs,2020/07/01 22:37:53
Cottonwood,2020/07/10 20:22:46
FLAT TOP,2020/07/10 20:24:01
Lincoln,2020/06/19 21:54:43
Moore Mountain,2020/07/10 20:21:31
Bloomington,2020/07/15 20:47:18
Slow Fork,2020/06/23 15:31:36
Volcano,2020/07/16 18:43:44
U Road ,2020/07/03 23:21:21
North Wilson Lake,2020/07/28 00:04:06
Beets,2020/07/13 13:58:59
County Line Road,2020/07/10 20:26:08
NORTH ALKALI CREEK,2020/07/10 20:21:36
Goshen Canyon,2020/07/13 23:24:54
Mile Post Five,2020/06/30 17:33:13
Oak Creek Cyn,2020/06/19 21:52:36
Hot,2020/07/10 18:45:39
Kugarak River,2020/06/20 21:43:23
Clear Creek,2020/06/20 21:40:08
Harper Fire,2020/07/26 02:37:47
Peplin,2020/06/19 21:52:52
Marshall Basin,2020/07/28 00:04:09
Golf Course ,2020/07/28 00:04:03
Stanley,2020/07/10 20:19:34
Sixty-One Mountain,2020/06/23 16:34:06
Traverse,2020/06/28 16:24:57
Macklin,2020/06/20 21:39:09
Samaria,2020/07/26 15:40:02
Lonesome,2020/07/16 14:07:12
Goach Fire,2020/06/28 20:36:53
East Point,2020/07/05 21:39:52
Fawn Creek,2020/07/19 11:41:10
Mount Schwatka,2020/06/23 16:35:11
Deshka Overwinter,2020/06/20 21:35:45
council butte,2020/07/10 20:22:45
BenYoung,2020/07/24 13:59:03
Wapoo Creek 2,2020/06/20 21:42:35
Chromo Divide - Rosebud,2020/07/10 20:26:15
Brush Creek,2020/06/20 21:39:27
Moran Creek,2020/06/23 16:20:05
Snake Lake,2020/07/06 15:48:56
Sportsmans,2020/07/19 14:05:40
YMCA,2020/07/12 16:44:27
Flooded Lake,2020/06/23 16:36:21
Clive,2020/07/19 23:13:24
Sand Creek,2020/06/29 17:47:31
Soldier,2020/07/26 03:42:33
Polles,2020/07/13 09:53:34
Timmerman,2020/07/28 00:04:07
Neiber,2020/07/16 22:18:58
Pocatello Creek,2020/07/10 20:26:03
Juniper Dunes,2020/07/10 20:21:53
Blue Creek,2020/07/10 20:22:21
Hancock Canyon,2020/07/10 20:21:34
Scooteney ,2020/07/10 20:22:15
Mammoth,2020/07/15 19:08:46
Marsh,2020/07/10 20:22:32
MP 50,2020/07/10 20:22:26
Mccornick 2,2020/06/19 21:54:25
Iosepa,2020/07/05 02:29:05
MEADOW CREEK,2020/06/25 19:12:07
Little Wood,2020/07/10 20:23:24
Pottery,2020/07/28 00:03:59
Sabie ,2020/07/21 18:55:52
HORSE,2020/07/16 21:25:06
Whitlow ,2020/07/10 20:19:38
Witcher,2020/07/20 20:31:41
Kerulu Creek,2020/06/20 21:39:28
Chafin,2020/07/10 20:22:27
Tracer,2020/07/10 20:26:43
Howe Peak,2020/07/03 16:55:38
Shaw Creek,2020/06/25 18:21:42
Monument,2020/07/09 01:37:19
Crews,2020/07/10 05:40:58
Matlin,2020/06/19 21:52:54
Helpmejack Hills,2020/07/08 15:45:00
Taylor,2020/07/08 13:14:25
North Delle,2020/06/19 21:54:44
ROAD 11,2020/07/13 21:36:08
Tagagawik River 2,2020/06/23 15:33:42
Little Su,2020/06/20 21:35:56
0380 RS,2020/07/09 00:37:28
LITTLE,2020/07/22 23:35:04
Steel Canyon,2020/07/10 20:21:38
Kawichiark River 5,2020/06/23 19:02:59
Yellow River ,2020/06/29 21:11:18
Ninemile Lake,2020/06/20 21:43:15
Black Point,2020/06/19 21:54:06
Verde,2020/07/10 20:19:44
Wilson Crossing,2020/07/10 20:22:34
Bonny,2020/07/27 16:32:28
Quigley,2020/07/10 20:23:38
Ray Mountain,2020/06/20 21:42:10
Hogatza,2020/06/20 21:42:11
Powder Hollow,2020/06/19 21:54:29
Hog Point,2020/06/29 22:13:55
Bering Creek,2020/06/20 21:42:17
North Side Bridge,2020/07/28 00:04:05
Chiroskey River,2020/06/23 22:28:03
Little Bookcliff,2020/07/10 20:22:42
Mtn Home,2020/07/15 02:52:48
Ranches,2020/07/10 20:24:53
Jim Canyon 2,2020/06/30 16:22:47
103,2020/06/19 21:55:05
Mercur Canyon,2020/07/21 18:51:23
Smith Creek,2020/06/20 21:38:39
Jackrabbit,2020/07/10 20:19:53
White Mountain,2020/06/20 21:39:31
Saddle Horse Peak,2020/06/19 21:53:08
Landfill,2020/06/19 21:53:35
Yellow Jacket,2020/07/06 14:15:26
Natlaratlen River,2020/06/26 19:34:51
Bass Bay,2020/07/28 00:04:12
Orchard,2020/06/19 21:54:48
Griffins Creek,2020/07/10 20:21:31
Three Hill,2020/07/18 03:39:09
Snook,2020/07/20 14:12:50
SC Section 32,2020/07/10 20:19:41
Jesus Mesa ,2020/07/10 20:24:00
Bannock County Assist 2,2020/07/27 19:55:44
Sisal,2020/07/17 15:11:40
Iwaktok Hill,2020/06/20 21:43:10
Tabernacle,2020/06/19 21:54:10
Nephi,2020/07/27 18:37:16
Rattlesnake,2020/07/10 20:22:32
Cliff,2020/07/28 00:04:01
Omilak Creek,2020/06/20 21:39:14
Howell Peak,2020/07/21 15:49:46
Red Dog,2020/06/20 21:38:43
Pix,2020/07/10 20:21:39
Mojave ,2020/06/19 21:52:33
Emigrant ,2020/07/10 20:20:23
Ballyhoo,2020/07/16 19:45:05
Sieber,2020/07/10 20:22:36
SLICK CREEK,2020/07/10 20:23:46
Moose Meadows,2020/06/20 21:35:59
Railroad ,2020/07/10 20:19:48
Grunt,2020/07/16 13:05:04
County-line,2020/07/17 20:15:40
Bearpaw River,2020/06/20 21:38:22
Canoa Fire,2020/07/10 20:20:32
Pine Springs Fire,2020/07/02 20:51:13
Coleen ,2020/07/06 22:15:20
GRASS CREEK,2020/07/10 20:22:36
Shaw's,2020/07/20 19:37:09
Imik Lagoon,2020/06/23 15:40:07
Rocky Ridge,2020/06/19 21:53:57
Morelock ,2020/06/20 21:42:41
Guava 3,2020/07/15 12:24:10
Range,2020/07/10 20:19:59
Saddle,2020/06/19 21:52:28
Niagara,2020/06/25 13:30:10
Silverking,2020/07/10 20:25:49
Billy Hawk Creek,2020/06/20 21:43:18
Tractor Fire,2020/06/30 22:08:33
Hunt,2020/07/28 00:03:55
Center Slough,2020/06/20 21:38:14
Fort Hall Assist 2,2020/07/27 21:49:31
35 Command,2020/07/10 20:21:51
South Island,2020/06/19 21:53:15
Salmon Falls,2020/07/28 00:04:00
Mm17,2020/07/01 18:07:32
Sea Biscuit,2020/07/20 19:34:12
Baseline,2020/07/28 00:03:48
Shepard,2020/06/19 21:52:26
Ranch,2020/07/10 20:19:54
Manokinak River,2020/06/20 21:42:49
Aviator,2020/06/19 21:54:35
Dunes Fire,2020/07/03 20:32:02
Basin ,2020/06/23 12:34:29
Bacon,2020/07/25 20:25:06
Aniak River,2020/06/23 17:20:32
Tagagawik River,2020/06/23 15:36:21
Igiglogruk Mountain,2020/07/20 20:46:04
Antelope Road ,2020/06/19 21:52:48
Doe Creek,2020/07/09 15:03:43
Pompano,2020/07/20 13:16:03
Seed Warehouse,2020/07/22 13:34:36
R-3 LITTLE FREDOYNER,2020/07/27 23:11:46
Bigwater,2020/06/19 21:54:32
R-5 Dry,2020/07/22 22:29:48
AGATE FIELD,2020/07/10 20:23:09
Quarter Fire,2020/06/25 00:03:25
Tortolita,2020/07/10 20:20:27
Cosmos Creek,2020/06/20 21:41:50
4th of July Creek,2020/06/23 17:13:35
Country,2020/06/20 21:35:53
Strawberry Dome,2020/07/08 22:28:22
Pahvant Wma,2020/06/19 21:52:37
Middle Fork Buckland,2020/06/20 21:39:12
Little Chena 6,2020/06/20 21:43:08
Padilla,2020/07/10 20:21:20
Summit,2020/07/08 17:46:17
Hunter,2020/07/10 20:22:38
Little Chena 2 - East,2020/06/20 21:43:07
Road A,2020/07/03 01:05:52
Pothole,2020/07/09 21:49:51
Mackerel,2020/07/10 13:14:55
Canal Fire,2020/07/07 22:16:49
Butte Creek,2020/07/10 20:21:55
Continental Divide,2020/06/20 21:39:18
Izaviknek River,2020/06/23 17:08:03
Wolf,2020/07/17 11:20:54
Kawichiark River 3,2020/06/20 21:41:32
Cottonwood - Dawson,2020/07/27 21:03:43
LOST CREEK,2020/07/10 20:26:47
Veyo West,2020/07/15 16:36:32
Hal Canyon,2020/07/10 20:25:15
Saddle Mountain,2020/07/09 14:32:08
Otter Creek,2020/07/14 20:31:33
Canal,2020/07/05 20:25:59
Frenchman Canal,2020/07/10 20:22:53
Kuyak Creek,2020/06/20 21:42:36
Pole Canyon,2020/07/16 03:09:52
Copple - Rosebud,2020/07/20 16:15:21
Whites Creek,2020/07/13 18:09:07
Dry Mesa ,2020/06/19 21:52:47
Butte,2020/07/15 15:03:09
Pinney,2020/07/10 14:03:45
Bald Mountain,2020/06/19 21:54:56
ROME,2020/07/10 20:22:08
Spillway,2020/07/11 19:01:53
Jackass Canyon ,2020/07/10 20:24:33
Dance - Dawson,2020/07/28 15:38:01
Dempsey ,2020/07/19 17:16:50
Smelter,2020/06/19 21:52:38
Launch Fire,2020/06/19 21:52:35
Flat Top,2020/07/28 00:04:02
Point Mac,2020/06/20 21:35:44
Crestline ,2020/07/28 01:44:51
