National Park,Coordinates
Biscayne,"{'latitude': 25.65, 'longitude': -80.08}"
Channel Islands,"{'latitude': 34.01, 'longitude': -119.42}"
Death Valley,"{'latitude': 36.24, 'longitude': -116.82}"
Dry Tortugas,"{'latitude': 24.63, 'longitude': -82.87}"
Everglades,"{'latitude': 25.32, 'longitude': -80.93}"
Joshua Tree,"{'latitude': 33.79, 'longitude': -115.9}"
Kings Canyon,"{'latitude': 36.8, 'longitude': -118.55}"
Lassen Volcanic,"{'latitude': 40.49, 'longitude': -121.51}"
Pinnacles,"{'latitude': 36.48, 'longitude': -121.16}"
Redwood,"{'latitude': 41.3, 'longitude': -124}"
Sequoia,"{'latitude': 36.43, 'longitude': -118.68}"
Yosemite,"{'latitude': 37.83, 'longitude': -119.5}"
